DIA;CONC;MTT;%MTT
1;0;0,385;105,8176821
1;0;0,379;104,1685754
1;0;0,368;101,145213
1;0;0,363;99,7709574
1;0;0,33;90,70087036
1;0;0,361;99,22125515
1;0;0,368;101,145213
1;0;0,354;97,2972973
1;0;0,342;93,99908383
1;0;0,364;100,0458085
1;0;0,372;102,2446175
1;0;0,364;100,0458085
1;0;0,422;115,9871736
1;0;0,392;107,7416399
1;0;0,371;101,9697664
1;0;0,384;105,542831
1;0;0,312;85,75355016
1;0;0,349;95,92304169
1;0;0,365;100,3206596
1;0;0,315;86,57810353
1;0;0,36;98,94640403
1;0;0,353;97,02244617
1;0;0,352;96,74759505
1;0;0,407;111,8644068
1;2;0,438;120,3847916
1;2;0,445;122,3087494
1;2;0,429;117,9111315
1;2;0,417;114,612918
1;2;0,403;110,7650023
1;2;0,441;121,2093449
1;2;0,416;114,3380669
1;2;0,414;113,7883646
1;2;0,432;118,7356848
1;2;0,431;118,4608337
1;2;0,446;122,5836005
1;2;0,437;120,1099404
1;2;0,428;117,6362803
1;2;0,43;118,1859826
1;2;0,428;117,6362803
1;2;0,402;110,4901512
1;2;0,399;109,6655978
1;2;0,416;114,3380669
1;2;0,419;115,1626202
1;2;0,39;107,1919377
1;2;0,398;109,3907467
1;2;0,453;124,5075584
1;2;0,402;110,4901512
1;2;0,456;125,3321118
1;5;0,371;101,9697664
1;5;0,394;108,2913422
1;5;0,334;91,80027485
1;5;0,349;95,92304169
1;5;0,334;91,80027485
1;5;0,363;99,7709574
1;5;0,34;93,44938158
1;5;0,349;95,92304169
1;5;0,314;86,3032524
1;5;0,354;97,2972973
1;5;0,367;100,8703619
1;5;0,386;106,0925332
1;5;0,385;105,8176821
1;5;0,35;96,19789281
1;5;0,354;97,2972973
1;5;0,348;95,64819056
1;5;0,318;87,40265689
1;5;0,34;93,44938158
1;5;0,331;90,97572148
1;5;0,354;97,2972973
1;5;0,332;91,25057261
1;5;0,398;109,3907467
1;5;0,368;101,145213
1;5;0,421;115,7123225
1;10;0,298;81,90563445
1;10;0,271;74,48465415
1;10;0,275;75,58405863
1;10;0,236;64,86486486
1;10;0,268;73,66010078
1;10;0,281;77,23316537
1;10;0,251;68,9876317
1;10;0,26;71,4612918
1;10;0,256;70,36188731
1;10;0,253;69,53733394
1;10;0,264;72,56069629
1;10;0,264;72,56069629
1;10;0,304;83,55474118
1;10;0,252;69,26248282
1;10;0,24;65,96426935
1;10;0,265;72,83554741
1;10;0,244;67,06367384
1;10;0,239;65,68941823
1;10;0,248;68,16307833
1;10;0,233;64,0403115
1;10;0,242;66,5139716
1;10;0,256;70,36188731
1;10;0,28;76,95831425
1;10;0,294;80,80622996
1;50;0,028;7,695831425
1;50;0,048;13,19285387
1;50;0,033;9,070087036
1;50;0,022;6,046724691
1;50;0,038;10,44434265
1;50;0,04;10,99404489
1;50;0,049;13,46770499
1;50;0,041;11,26889601
1;50;0,044;12,09344938
1;50;0,037;10,16949153
1;50;0,034;9,344938158
1;50;0,034;9,344938158
1;50;0,019;5,222171324
1;50;0,027;7,420980302
1;50;0,039;10,71919377
1;50;0,024;6,596426935
1;50;0,019;5,222171324
1;50;0,038;10,44434265
1;50;0,023;6,321575813
1;50;0,032;8,795235914
1;50;0,019;5,222171324
1;50;0,027;7,420980302
1;50;0,02;5,497022446
1;50;0,032;8,795235914
1;100;0,01;2,748511223
1;100;0,011;3,023362345
1;100;0,01;2,748511223
1;100;0,009;2,473660101
1;100;0,013;3,57306459
1;100;0,011;3,023362345
1;100;0,01;2,748511223
1;100;0,013;3,57306459
1;100;0,014;3,847915712
1;100;0,012;3,298213468
1;100;0,012;3,298213468
1;100;0,015;4,122766835
1;100;0,01;2,748511223
1;100;0,008;2,198808978
1;100;0,011;3,023362345
1;100;0,009;2,473660101
1;100;0,01;2,748511223
1;100;0,012;3,298213468
1;100;0,005;1,374255612
1;100;0,013;3,57306459
1;100;0,008;2,198808978
1;100;0,008;2,198808978
1;100;0,015;4,122766835
1;100;0,014;3,847915712
1;500;0,008;2,198808978
1;500;0,016;4,397617957
1;500;0,013;3,57306459
1;500;0,014;3,847915712
1;500;0,013;3,57306459
1;500;0,014;3,847915712
1;500;0,014;3,847915712
1;500;0,014;3,847915712
1;500;0,013;3,57306459
1;500;0,013;3,57306459
1;500;0,014;3,847915712
1;500;0,013;3,57306459
1;500;0,015;4,122766835
1;500;0,015;4,122766835
1;500;0,014;3,847915712
1;500;0,016;4,397617957
1;500;0,012;3,298213468
1;500;0,009;2,473660101
1;500;0,012;3,298213468
1;500;0,014;3,847915712
1;500;0,008;2,198808978
1;500;0,015;4,122766835
1;500;0,016;4,397617957
1;500;0,015;4,122766835
1;1000;0,01;2,748511223
1;1000;0,011;3,023362345
1;1000;0,012;3,298213468
1;1000;0,012;3,298213468
1;1000;0,012;3,298213468
1;1000;0,016;4,397617957
1;1000;0,014;3,847915712
1;1000;0,016;4,397617957
1;1000;0,013;3,57306459
1;1000;0,011;3,023362345
1;1000;0,012;3,298213468
1;1000;0,008;2,198808978
1;1000;0,012;3,298213468
1;1000;0,013;3,57306459
1;1000;0,012;3,298213468
1;1000;0,016;4,397617957
1;1000;0,012;3,298213468
1;1000;0,008;2,198808978
1;1000;0,005;1,374255612
1;1000;0,014;3,847915712
1;1000;0,013;3,57306459
1;1000;0,015;4,122766835
1;1000;0,016;4,397617957
1;1000;0,01;2,748511223
2;0;0,289;101,4035088
2;0;0,297;104,2105263
2;0;0,291;102,1052632
2;0;0,28;98,24561404
2;0;0,298;104,5614035
2;0;0,275;96,49122807
2;0;0,31;108,7719298
2;0;0,29;101,754386
2;0;0,293;102,8070175
2;0;0,288;101,0526316
2;0;0,27;94,73684211
2;0;0,259;90,87719298
2;0;0,261;91,57894737
2;0;0,306;107,3684211
2;0;0,292;102,4561404
2;0;0,277;97,19298246
2;0;0,328;115,0877193
2;0;0,305;107,0175439
2;0;0,287;100,7017544
2;0;0,281;98,59649123
2;0;0,29;101,754386
2;0;0,268;94,03508772
