DIA;CONC;MTT;%MTT
1;0;0,274;165,5589124
1;0;0,128;77,34138973
1;0;0,147;88,82175227
1;0;0,145;87,61329305
1;0;0,158;95,46827795
1;0;0,149;90,03021148
1;0;0,142;85,80060423
1;0;0,139;83,98791541
1;0;0,171;103,3232628
1;0;0,196;118,429003
1;0;0,167;100,9063444
1;0;0,161;97,28096677
1;0;0,23;138,9728097
1;0;0,229;138,3685801
1;0;0,16;96,67673716
1;0;0,164;99,09365559
1;0;0,156;94,25981873
1;0;0,112;67,67371601
1;0;0,137;82,77945619
1;0;0,141;85,19637462
1;0;0,17;102,7190332
1;0;0,168;101,510574
1;0;0,162;97,88519637
1;0;0,166;100,3021148
1;2;0,228;137,7643505
1;2;0,094;56,79758308
1;2;0,111;67,0694864
1;2;0,092;55,58912387
1;2;0,102;61,63141994
1;2;0,11;66,4652568
1;2;0,098;59,21450151
1;2;0,104;62,83987915
1;2;0,121;73,11178248
1;2;0,125;75,52870091
1;2;0,124;74,9244713
1;2;0,118;71,29909366
1;2;0,214;129,305136
1;2;0,244;147,4320242
1;2;0,094;56,79758308
1;2;0,113;68,27794562
1;2;0,106;64,04833837
1;2;0,102;61,63141994
1;2;0,101;61,02719033
1;2;0,123;74,32024169
1;2;0,13;78,54984894
1;2;0,112;67,67371601
1;2;0,128;77,34138973
1;2;0,142;85,80060423
1;5;0,135;81,57099698
1;5;0,046;27,79456193
1;5;0,07;42,29607251
1;5;0,06;36,25377644
1;5;0,064;38,67069486
1;5;0,071;42,90030211
1;5;0,061;36,85800604
1;5;0,07;42,29607251
1;5;0,072;43,50453172
1;5;0,076;45,92145015
1;5;0,078;47,12990937
1;5;0,071;42,90030211
1;5;0,171;103,3232628
1;5;0,121;73,11178248
1;5;0,054;32,62839879
1;5;0,061;36,85800604
1;5;0,06;36,25377644
1;5;0,06;36,25377644
1;5;0,053;32,02416918
1;5;0,072;43,50453172
1;5;0,079;47,73413897
1;5;0,07;42,29607251
1;5;0,082;49,54682779
1;5;0,088;53,17220544
1;10;0,037;22,35649547
1;10;0,017;10,27190332
1;10;0,018;10,87613293
1;10;0,033;19,93957704
1;10;0,022;13,29305136
1;10;0,032;19,33534743
1;10;0,026;15,70996979
1;10;0,024;14,50151057
1;10;0,037;22,35649547
1;10;0,031;18,73111782
1;10;0,052;31,41993958
1;10;0,041;24,7734139
1;10;0,064;38,67069486
1;10;0,05;30,21148036
1;10;0,017;10,27190332
1;10;0,022;13,29305136
1;10;0,027;16,3141994
1;10;0,029;17,52265861
1;10;0,024;14,50151057
1;10;0,029;17,52265861
1;10;0,038;22,96072508
1;10;0,033;19,93957704
1;10;0,039;23,56495468
1;10;0,052;31,41993958
1;50;0,014;8,459214502
1;50;0,011;6,64652568
1;50;0,014;8,459214502
1;50;0,009;5,438066465
1;50;0,009;5,438066465
1;50;0,008;4,833836858
1;50;0,007;4,229607251
1;50;0,004;2,416918429
1;50;0,007;4,229607251
1;50;0,003;1,812688822
1;50;0,003;1,812688822
1;50;0,003;1,812688822
1;50;0,012;7,250755287
1;50;0,008;4,833836858
1;50;0,012;7,250755287
1;50;0,007;4,229607251
1;50;0,006;3,625377644
1;50;0,007;4,229607251
1;50;0,005;3,021148036
1;50;0,003;1,812688822
1;50;0,004;2,416918429
1;50;0,001;0,604229607
1;50;0,001;0,604229607
1;50;0,004;2,416918429
1;100;0,002;1,208459215
1;100;0,003;1,812688822
1;100;0,002;1,208459215
1;100;0,001;0,604229607
1;100;0,004;2,416918429
