DIA;CONC MARCH;CONC CIPER;MTT;%MTT
1;0;0;0,276;99,87937274
1;0;0;0,312;112,907117
1;0;0;0,257;93,00361882
1;0;0;0,239;86,48974668
1;0;0;0,202;73,10012063
1;0;0;0,181;65,50060314
1;0;0;0,199;72,01447527
1;0;0;0,15;54,28226779
1;0;0;0,178;64,41495778
1;0;0;0,176;63,69119421
1;0;0;0,114;41,25452352
1;0;0;0,2;72,37635706
1;0;0;0,465;168,2750302
1;0;0;0,38;137,5150784
1;0;0;0,409;148,0096502
1;0;0;0,471;170,4463209
1;0;0;0,368;133,172497
1;0;0;0,301;108,9264174
1;0;0;0,29;104,9457177
1;0;0;0,289;104,5838359
1;0;0;0,305;110,3739445
1;0;0;0,292;105,6694813
1;0;0;0,318;115,0784077
1;0;0;0,26;94,08926417
1;8,1;0,25;0,286;103,4981906
1;8,1;0,25;0,288;104,2219542
1;8,1;0,25;0,268;96,98431846
1;8,1;0,25;0,243;87,93727382
1;8,1;0,25;0,207;74,90952955
1;8,1;0,25;0,192;69,48130277
1;8,1;0,25;0,185;66,94813028
1;8,1;0,25;0,141;51,02533172
1;8,1;0,25;0,126;45,59710495
1;8,1;0,25;0,099;35,82629674
1;8,1;0,25;0,05;18,09408926
1;8,1;0,25;0,074;26,77925211
1;8,1;0,25;0,333;120,5066345
1;8,1;0,25;0,372;134,6200241
1;8,1;0,25;0,385;139,3244873
1;8,1;0,25;0,3429;124,0892642
1;8,1;0,25;0,322;116,5259349
1;8,1;0,25;0,29;104,9457177
1;8,1;0,25;0,286;103,4981906
1;8,1;0,25;0,282;102,0506634
1;8,1;0,25;0,267;96,62243667
1;8,1;0,25;0,265;95,8986731
1;8,1;0,25;0,283;102,4125452
1;8,1;0,25;0,259;93,72738239
1;16,2;0,5;0,28;101,3268999
1;16,2;0,5;0,237;85,76598311
1;16,2;0,5;0,249;90,10856454
1;16,2;0,5;0,22;79,61399276
1;16,2;0,5;0,196;70,92882992
1;16,2;0,5;0,162;58,62484922
1;16,2;0,5;0,155;56,09167672
1;16,2;0,5;0,182;65,86248492
1;16,2;0,5;0,151;54,64414958
1;16,2;0,5;0,11;39,80699638
1;16,2;0,5;0,071;25,69360676
1;16,2;0,5;0,039;14,11338963
1;16,2;0,5;0,371;134,2581423
1;16,2;0,5;0,423;153,0759952
1;16,2;0,5;0,396;143,305187
1;16,2;0,5;0,393;142,2195416
1;16,2;0,5;0,284;102,774427
1;16,2;0,5;0,276;99,87937274
1;16,2;0,5;0,287;103,8600724
1;16,2;0,5;0,283;102,4125452
1;16,2;0,5;0,272;98,4318456
1;16,2;0,5;0,251;90,83232811
1;16,2;0,5;0,267;96,62243667
1;16,2;0,5;0,256;92,64173703
1;40,5;1,25;0,242;87,57539204
1;40,5;1,25;0,282;102,0506634
1;40,5;1,25;0,226;81,78528347
1;40,5;1,25;0,15;54,28226779
1;40,5;1,25;0,198;71,65259349
1;40,5;1,25;0,172;62,24366707
1;40,5;1,25;0,176;63,69119421
1;40,5;1,25;0,167;60,43425814
1;40,5;1,25;0,224;81,0615199
1;40,5;1,25;0,178;64,41495778
1;40,5;1,25;0,109;39,4451146
1;40,5;1,25;0,071;25,69360676
1;40,5;1,25;0,329;119,0591074
1;40,5;1,25;0,346;125,2110977
1;40,5;1,25;0,319;115,4402895
1;40,5;1,25;0,313;113,2689988
1;40,5;1,25;0,259;93,72738239
1;40,5;1,25;0,247;89,38480097
1;40,5;1,25;0,271;98,06996381
1;40,5;1,25;0,307;111,0977081
1;40,5;1,25;0,256;92,64173703
1;40,5;1,25;0,253;91,55609168
1;40,5;1,25;0,257;93,00361882
1;40,5;1,25;0,245;88,66103739
1;81;2,5;0,292;105,6694813
1;81;2,5;0,28;101,3268999
1;81;2,5;0,233;84,31845597
1;81;2,5;0,192;69,48130277
1;81;2,5;0,193;69,84318456
1;81;2,5;0,155;56,09167672
1;81;2,5;0,15;54,28226779
1;81;2,5;0,177;64,053076
1;81;2,5;0,112;40,53075995
1;81;2,5;0,1;36,18817853
1;81;2,5;0,127;45,95898673
1;81;2,5;0,149;53,92038601
1;81;2,5;0,343;124,1254524
1;81;2,5;0,406;146,9240048
1;81;2,5;0,32;115,8021713
1;81;2,5;0,362;131,0012063
1;81;2,5;0,256;92,64173703
1;81;2,5;0,235;85,04221954
1;81;2,5;0,255;92,27985525
1;81;2,5;0,258;93,3655006
1;81;2,5;0,256;92,64173703
1;81;2,5;0,257;93,00361882
1;81;2,5;0,23;83,23281062
1;81;2,5;0,199;72,01447527
1;162;5;0,165;59,71049457
1;162;5;0,239;86,48974668
1;162;5;0,158;57,17732207
1;162;5;0,11;39,80699638
1;162;5;0,146;52,83474065
1;162;5;0,102;36,9119421
1;162;5;0,086;31,12183353
1;162;5;0,087;31,48371532
1;162;5;0,08;28,95054282
1;162;5;0,044;15,92279855
1;162;5;0,064;23,16043426
1;162;5;0,101;36,55006031
1;162;5;0,28;101,3268999
1;162;5;0,321;116,1640531
1;162;5;0,239;86,48974668
1;162;5;0,334;120,8685163
1;162;5;0,183;66,22436671
1;162;5;0,17;61,5199035
1;162;5;0,149;53,92038601
1;162;5;0,186;67,31001206
1;162;5;0,204;73,8238842
1;162;5;0,193;69,84318456
1;162;5;0,147;53,19662244
1;162;5;0,155;56,09167672
1;405;12,5;0,016;5,790108565
1;405;12,5;0,026;9,408926417
1;405;12,5;0,012;4,342581423
1;405;12,5;0,012;4,342581423
1;405;12,5;0,009;3,256936068
1;405;12,5;0,015;5,428226779
1;405;12,5;0,006;2,171290712
1;405;12,5;0,005;1,809408926
1;405;12,5;0,006;2,171290712
1;405;12,5;0,006;2,171290712
1;405;12,5;0,001;0,361881785
1;405;12,5;0,002;0,723763571
1;405;12,5;0,018;6,513872135
1;405;12,5;0,018;6,513872135
1;405;12,5;0,014;5,066344994
1;405;12,5;0,013;4,704463209
1;405;12,5;0,013;4,704463209
1;405;12,5;0,011;3,980699638
1;405;12,5;0,009;3,256936068
1;405;12,5;0,008;2,895054282
1;405;12,5;0,008;2,895054282
1;405;12,5;0,012;4,342581423
1;405;12,5;0,006;2,171290712
1;405;12,5;0,005;1,809408926
1;810;25;0,004;1,447527141
1;810;25;0,019;6,87575392
1;810;25;0,008;2,895054282
1;810;25;0,005;1,809408926
1;810;25;0,005;1,809408926
1;810;25;0,007;2,533172497
1;810;25;0,006;2,171290712
1;810;25;0,006;2,171290712
1;810;25;0,006;2,171290712
1;810;25;0,006;2,171290712
1;810;25;0,005;1,809408926
1;810;25;0,007;2,533172497
1;810;25;0,005;1,809408926
1;810;25;0,008;2,895054282
1;810;25;0,007;2,533172497
1;810;25;0,007;2,533172497
1;810;25;0,007;2,533172497
1;810;25;0,007;2,533172497
1;810;25;0,007;2,533172497
1;810;25;0,007;2,533172497
1;810;25;0,007;2,533172497
1;810;25;0,011;3,980699638
1;810;25;0,007;2,533172497
1;810;25;0,008;2,895054282
2;0;0;0,356;104,6289493
2;0;0;0,422;124,0264511
2;0;0;0,455;133,7252021
2;0;0;0,402;118,1484203
2;0;0;0,353;103,7472447
2;0;0;0,302;88,75826598
2;0;0;0,314;92,2850845
2;0;0;0,333;97,86921381
2;0;0;0,314;92,2850845
2;0;0;0,359;105,5106539
2;0;0;0,324;95,22409993
2;0;0;0,323;94,93019838
2;0;0;0,336;98,75091844
2;0;0;0,328;96,3997061
2;0;0;0,321;94,3423953
2;0;0;0,334;98,16311536
2;0;0;0,322;94,63629684
2;0;0;0,338;99,33872153
2;0;0;0,331;97,28141073
2;0;0;0,315;92,57898604
2;0;0;0,302;88,75826598
2;0;0;0,391;114,9155033
2;0;0;0,24;70,53637032
2;0;0;0,351;103,1594416
2;8,1;0,25;0,396;116,385011
2;8,1;0,25;0,409;120,2057311
2;8,1;0,25;0,389;114,3277002
2;8,1;0,25;0,377;110,8008817
2;8,1;0,25;0,348;102,277737
2;8,1;0,25;0,355;104,3350478
2;8,1;0,25;0,317;93,16678913
2;8,1;0,25;0,327;96,10580456
2;8,1;0,25;0,348;102,277737
2;8,1;0,25;0,318;93,46069067
2;8,1;0,25;0,34;99,92652461
2;8,1;0,25;0,361;106,098457
2;8,1;0,25;0,313;91,99118295
2;8,1;0,25;0,336;98,75091844
2;8,1;0,25;0,328;96,3997061
2;8,1;0,25;0,321;94,3423953
2;8,1;0,25;0,334;98,16311536
2;8,1;0,25;0,322;94,63629684
2;8,1;0,25;0,313;91,99118295
2;8,1;0,25;0,318;93,46069067
2;8,1;0,25;0,281;82,58633358
2;8,1;0,25;0,307;90,2277737
2;8,1;0,25;0,354;104,0411462
2;8,1;0,25;0,097;28,50844967
2;16,2;0,5;0,361;106,098457
2;16,2;0,5;0,368;108,1557678
2;16,2;0,5;0,356;104,6289493
2;16,2;0,5;0,355;104,3350478
2;16,2;0,5;0,324;95,22409993
2;16,2;0,5;0,311;91,40337987
2;16,2;0,5;0,312;91,69728141
2;16,2;0,5;0,301;88,46436444
2;16,2;0,5;0,331;97,28141073
2;16,2;0,5;0,293;86,11315209
2;16,2;0,5;0,32;94,04849375
2;16,2;0,5;0,368;108,1557678
2;16,2;0,5;0,323;94,93019838
2;16,2;0,5;0,313;91,99118295
2;16,2;0,5;0,313;91,99118295
2;16,2;0,5;0,282;82,88023512
2;16,2;0,5;0,31;91,10947832
2;16,2;0,5;0,293;86,11315209
2;16,2;0,5;0,287;84,34974284
2;16,2;0,5;0,291;85,52534901
2;16,2;0,5;0,258;75,82659809
2;16,2;0,5;0,288;84,64364438
2;16,2;0,5;0,269;79,05951506
2;16,2;0,5;0,086;25,2755327
2;40,5;1,25;0,359;105,5106539
2;40,5;1,25;0,359;105,5106539
2;40,5;1,25;0,368;108,1557678
2;40,5;1,25;0,369;108,4496694
2;40,5;1,25;0,354;104,0411462
2;40,5;1,25;0,366;107,5679647
2;40,5;1,25;0,335;98,4570169
2;40,5;1,25;0,317;93,16678913
2;40,5;1,25;0,319;93,75459221
2;40,5;1,25;0,325;95,51800147
2;40,5;1,25;0,328;96,3997061
2;40,5;1,25;0,353;103,7472447
2;40,5;1,25;0,303;89,05216752
2;40,5;1,25;0,283;83,17413666
2;40,5;1,25;0,334;98,16311536
2;40,5;1,25;0,299;87,87656135
2;40,5;1,25;0,362;106,3923586
2;40,5;1,25;0,319;93,75459221
2;40,5;1,25;0,29;85,23144747
2;40,5;1,25;0,338;99,33872153
2;40,5;1,25;0,343;100,8082292
2;40,5;1,25;0,315;92,57898604
2;40,5;1,25;0,149;43,7913299
2;40,5;1,25;0,178;52,31447465
2;81;2,5;0,358;105,2167524
2;81;2,5;0,376;110,5069802
2;81;2,5;0,39;114,6216018
2;81;2,5;0,383;112,564291
2;81;2,5;0,341;100,2204262
2;81;2,5;0,331;97,28141073
2;81;2,5;0,312;91,69728141
2;81;2,5;0,309;90,81557678
2;81;2,5;0,335;98,4570169
2;81;2,5;0,324;95,22409993
2;81;2,5;0,301;88,46436444
2;81;2,5;0,331;97,28141073
2;81;2,5;0,343;100,8082292
2;81;2,5;0,354;104,0411462
2;81;2,5;0,327;96,10580456
2;81;2,5;0,32;94,04849375
2;81;2,5;0,328;96,3997061
2;81;2,5;0,309;90,81557678
2;81;2,5;0,288;84,64364438
2;81;2,5;0,313;91,99118295
2;81;2,5;0,289;84,93754592
2;81;2,5;0,272;79,94121969
2;81;2,5;0,209;61,42542248
2;81;2,5;0,2;58,7803086
2;162;5;0,307;90,2277737
2;162;5;0,319;93,75459221
2;162;5;0,351;103,1594416
2;162;5;0,348;102,277737
2;162;5;0,291;85,52534901
2;162;5;0,287;84,34974284
2;162;5;0,27;79,35341661
2;162;5;0,295;86,70095518
2;162;5;0,3;88,17046289
2;162;5;0,259;76,12049963
2;162;5;0,271;79,64731815
2;162;5;0,291;85,52534901
2;162;5;0,266;78,17781043
2;162;5;0,319;93,75459221
2;162;5;0,305;89,63997061
2;162;5;0,274;80,52902278
2;162;5;0,281;82,58633358
2;162;5;0,26;76,41440118
2;162;5;0,258;75,82659809
2;162;5;0,288;84,64364438
2;162;5;0,285;83,76193975
2;162;5;0,256;75,238795
2;162;5;0,258;75,82659809
2;162;5;0,11;32,32916973
2;405;12,5;0,07;20,57310801
2;405;12,5;0,079;23,2182219
2;405;12,5;0,107;31,4474651
2;405;12,5;0,138;40,55841293
2;405;12,5;0,018;5,290227774
2;405;12,5;0,017;4,996326231
2;405;12,5;0,007;2,057310801
2;405;12,5;0,009;2,645113887
2;405;12,5;0,007;2,057310801
2;405;12,5;0,003;0,881704629
2;405;12,5;0,003;0,881704629
2;405;12,5;0,008;2,351212344
2;405;12,5;0,017;4,996326231
2;405;12,5;0,017;4,996326231
2;405;12,5;0,016;4,702424688
2;405;12,5;0,018;5,290227774
2;405;12,5;0,01;2,93901543
2;405;12,5;0,01;2,93901543
2;405;12,5;0,008;2,351212344
2;405;12,5;0,018;5,290227774
2;405;12,5;0,008;2,351212344
2;405;12,5;0,01;2,93901543
2;405;12,5;0,02;5,87803086
2;405;12,5;0,007;2,057310801
2;810;25;0,005;1,469507715
2;810;25;0,007;2,057310801
2;810;25;0,01;2,93901543
2;810;25;0,008;2,351212344
2;810;25;0,006;1,763409258
2;810;25;0,009;2,645113887
2;810;25;0,009;2,645113887
2;810;25;0,01;2,93901543
2;810;25;0,012;3,526818516
2;810;25;0,011;3,232916973
2;810;25;0,008;2,351212344
2;810;25;0,009;2,645113887
2;810;25;0,004;1,175606172
2;810;25;0,01;2,93901543
2;810;25;0,017;4,996326231
2;810;25;0,011;3,232916973
2;810;25;0,007;2,057310801
2;810;25;0,011;3,232916973
2;810;25;0,018;5,290227774
2;810;25;0,008;2,351212344
2;810;25;0,012;3,526818516
2;810;25;0,01;2,93901543
2;810;25;0,02;5,87803086
2;810;25;0,022;6,465833946
3;0;0;0,319;117,2614489
3;0;0;0,323;118,7318119
3;0;0;0,253;93,00045949
3;0;0;0,274;100,7198652
3;0;0;0,265;97,41154848
3;0;0;0,271;99,61709297
3;0;0;0,291;106,9689079
3;0;0;0,265;97,41154848
3;0;0;0,286;105,1309542
3;0;0;0,272;99,98468372
3;0;0;0,297;109,1744524
3;0;0;0,25;91,89768724
3;0;0;0,254;93,36805024
3;0;0;0,261;95,94118548
3;0;0;0,261;95,94118548
3;0;0;0,249;91,53009649
3;0;0;0,25;91,89768724
3;0;0;0,27;99,24950222
3;0;0;0,273;100,3522745
3;0;0;0,265;97,41154848
3;0;0;0,274;100,7198652
3;0;0;0,269;98,88191147
3;0;0;0,265;97,41154848
3;0;0;0,272;99,98468372
3;8,1;0,25;0,321;117,9966304
3;8,1;0,25;0,339;124,6132639
3;8,1;0,25;0,254;93,36805024
3;8,1;0,25;0,274;100,7198652
3;8,1;0,25;0,251;92,26527799
3;8,1;0,25;0,254;93,36805024
3;8,1;0,25;0,267;98,14672997
3;8,1;0,25;0,263;96,67636698
3;8,1;0,25;0,278;102,1902282
3;8,1;0,25;0,268;98,51432072
3;8,1;0,25;0,278;102,1902282
3;8,1;0,25;0,266;97,77913922
3;8,1;0,25;0,272;99,98468372
3;8,1;0,25;0,274;100,7198652
3;8,1;0,25;0,259;95,20600398
3;8,1;0,25;0,282;103,6605912
3;8,1;0,25;0,267;98,14672997
3;8,1;0,25;0,273;100,3522745
3;8,1;0,25;0,271;99,61709297
3;8,1;0,25;0,287;105,498545
3;8,1;0,25;0,27;99,24950222
3;8,1;0,25;0,274;100,7198652
3;8,1;0,25;0,28;102,9254097
3;8,1;0,25;0,289;106,2337265
3;16,2;0,5;0,301;110,6448154
3;16,2;0,5;0,335;123,1429009
3;16,2;0,5;0,257;94,47082248
3;16,2;0,5;0,268;98,51432072
3;16,2;0,5;0,259;95,20600398
3;16,2;0,5;0,251;92,26527799
3;16,2;0,5;0,257;94,47082248
3;16,2;0,5;0,265;97,41154848
3;16,2;0,5;0,272;99,98468372
3;16,2;0,5;0,276;101,4550467
3;16,2;0,5;0,276;101,4550467
3;16,2;0,5;0,263;96,67636698
3;16,2;0,5;0,297;109,1744524
3;16,2;0,5;0,295;108,4392709
3;16,2;0,5;0,282;103,6605912
3;16,2;0,5;0,284;104,3957727
3;16,2;0,5;0,271;99,61709297
3;16,2;0,5;0,263;96,67636698
3;16,2;0,5;0,266;97,77913922
3;16,2;0,5;0,266;97,77913922
3;16,2;0,5;0,26;95,57359473
3;16,2;0,5;0,256;94,10323174
3;16,2;0,5;0,255;93,73564099
3;16,2;0,5;0,271;99,61709297
3;40,5;1,25;0,289;106,2337265
3;40,5;1,25;0,301;110,6448154
3;40,5;1,25;0,277;101,8226375
3;40,5;1,25;0,267;98,14672997
3;40,5;1,25;0,282;103,6605912
3;40,5;1,25;0,245;90,0597335
3;40,5;1,25;0,258;94,83841323
3;40,5;1,25;0,264;97,04395773
3;40,5;1,25;0,27;99,24950222
3;40,5;1,25;0,248;91,16250574
3;40,5;1,25;0,266;97,77913922
3;40,5;1,25;0,28;102,9254097
3;40,5;1,25;0,272;99,98468372
3;40,5;1,25;0,277;101,8226375
3;40,5;1,25;0,269;98,88191147
3;40,5;1,25;0,27;99,24950222
3;40,5;1,25;0,263;96,67636698
3;40,5;1,25;0,254;93,36805024
3;40,5;1,25;0,24;88,22177975
3;40,5;1,25;0,245;90,0597335
3;40,5;1,25;0,26;95,57359473
3;40,5;1,25;0,26;95,57359473
3;40,5;1,25;0,252;92,63286874
3;40,5;1,25;0,274;100,7198652
3;81;2,5;0,305;112,1151784
3;81;2,5;0,302;111,0124062
3;81;2,5;0,262;96,30877623
3;81;2,5;0,249;91,53009649
3;81;2,5;0,247;90,79491499
3;81;2,5;0,236;86,75141676
3;81;2,5;0,23;84,54587226
3;81;2,5;0,231;84,91346301
3;81;2,5;0,254;93,36805024
3;81;2,5;0,227;83,44310002
3;81;2,5;0,266;97,77913922
3;81;2,5;0,265;97,41154848
3;81;2,5;0,283;104,028182
3;81;2,5;0,283;104,028182
3;81;2,5;0,264;97,04395773
3;81;2,5;0,259;95,20600398
3;81;2,5;0,261;95,94118548
3;81;2,5;0,239;87,854189
3;81;2,5;0,267;98,14672997
3;81;2,5;0,224;82,34032777
3;81;2,5;0,251;92,26527799
3;81;2,5;0,249;91,53009649
3;81;2,5;0,245;90,0597335
3;81;2,5;0,267;98,14672997
3;162;5;0,217;79,76719253
3;162;5;0,211;77,56164803
3;162;5;0,214;78,66442028
3;162;5;0,174;63,96079032
3;162;5;0,192;70,5774238
3;162;5;0,171;62,85801807
3;162;5;0,191;70,20983305
3;162;5;0,194;71,3126053
3;162;5;0,196;72,0477868
3;162;5;0,222;81,60514627
3;162;5;0,218;80,13478327
3;162;5;0,229;84,17828151
3;162;5;0,204;74,98851279
3;162;5;0,225;82,70791852
3;162;5;0,203;74,62092204
3;162;5;0,201;73,88574054
3;162;5;0,205;75,35610354
3;162;5;0,206;75,72369429
3;162;5;0,189;69,47465155
3;162;5;0,189;69,47465155
3;162;5;0,178;65,43115332
3;162;5;0,205;75,35610354
3;162;5;0,191;70,20983305
3;162;5;0,196;72,0477868
3;405;12,5;0,076;27,93689692
3;405;12,5;0,086;31,61280441
3;405;12,5;0,029;10,66013172
3;405;12,5;0,018;6,616633481
3;405;12,5;0,024;8,822177975
3;405;12,5;0,009;3,308316741
3;405;12,5;0,027;9,924950222
3;405;12,5;0,014;5,146270486
3;405;12,5;0,018;6,616633481
3;405;12,5;0,011;4,043498239
3;405;12,5;0,014;5,146270486
3;405;12,5;0,018;6,616633481
3;405;12,5;0,032;11,76290397
3;405;12,5;0,034;12,49808546
3;405;12,5;0,025;9,189768724
3;405;12,5;0,021;7,719405728
3;405;12,5;0,016;5,881451983
3;405;12,5;0,018;6,616633481
3;405;12,5;0,018;6,616633481
3;405;12,5;0,009;3,308316741
3;405;12,5;0,013;4,778679737
3;405;12,5;0,018;6,616633481
3;405;12,5;0,016;5,881451983
3;405;12,5;0,007;2,573135243
3;810;25;0,002;0,735181498
3;810;25;0,003;1,102772247
3;810;25;0,011;4,043498239
3;810;25;0,004;1,470362996
3;810;25;0,008;2,940725992
3;810;25;0,004;1,470362996
3;810;25;0,011;4,043498239
3;810;25;0,006;2,205544494
3;810;25;0,005;1,837953745
3;810;25;0,006;2,205544494
3;810;25;0,005;1,837953745
3;810;25;0,01;3,67590749
3;810;25;0,003;1,102772247
3;810;25;0,005;1,837953745
3;810;25;0,006;2,205544494
3;810;25;0,005;1,837953745
3;810;25;0,005;1,837953745
3;810;25;0,006;2,205544494
3;810;25;0,008;2,940725992
3;810;25;0,005;1,837953745
3;810;25;0,005;1,837953745
3;810;25;0,004;1,470362996
3;810;25;0,004;1,470362996
3;810;25;0,006;2,205544494
4;0;0;0,642;114,6087474
4;0;0;0,567;101,219875
4;0;0;0,508;90,68729545
4;0;0;0,545;97,29247248
4;0;0;0,538;96,04284439
4;0;0;0,562;100,3272835
4;0;0;0,563;100,5058018
4;0;0;0,554;98,89913716
4;0;0;0,555;99,07765546
4;0;0;0,55;98,18506397
4;0;0;0,535;95,5072895
4;0;0;0,569;101,5769116
4;0;0;0,573;102,2909848
4;0;0;0,532;94,9717346
4;0;0;0,521;93,00803332
4;0;0;0,578;103,1835763
4;0;0;0,575;102,6480214
4;0;0;0,585;104,4332044
4;0;0;0,555;99,07765546
4;0;0;0,591;105,5043142
4;0;0;0,581;103,7191312
4;0;0;0,534;95,3287712
4;0;0;0,551;98,36358227
4;0;0;0,58;103,5406129
4;8,1;0,25;0,615;109,7887533
4;8,1;0,25;0,524;93,54358822
4;8,1;0,25;0,508;90,68729545
4;8,1;0,25;0,483;86,22433799
4;8,1;0,25;0,558;99,61321035
4;8,1;0,25;0,524;93,54358822
4;8,1;0,25;0,482;86,0458197
4;8,1;0,25;0,54;96,39988099
4;8,1;0,25;0,527;94,07914311
4;8,1;0,25;0,537;95,86432609
4;8,1;0,25;0,558;99,61321035
4;8,1;0,25;0,534;95,3287712
4;8,1;0,25;0,596;106,3969057
4;8,1;0,25;0,571;101,9339482
4;8,1;0,25;0,531;94,7932163
