DIA;CONC MARCH;CONC CIPER;MTT;%MTT
1;0;0;0,273;108,9639115
1;0;0;0,285;113,753534
1;0;0;0,243;96,98985531
1;0;0;0,253;100,9812074
1;0;0;0,251;100,182937
1;0;0;0,252;100,5820722
1;0;0;0,278;110,9595876
1;0;0;0,291;116,1483453
1;0;0;0,259;103,3760186
1;0;0;0,272;108,5647763
1;0;0;0,257;102,5777482
1;0;0;0,265;105,7708299
1;0;0;0,252;100,5820722
1;0;0;0,241;96,1915849
1;0;0;0,249;99,38466656
1;0;0;0,233;92,99850324
1;0;0;0,243;96,98985531
1;0;0;0,215;85,81406952
1;0;0;0,244;97,38899052
1;0;0;0,233;92,99850324
1;0;0;0,207;82,62098786
1;0;0;0,236;94,19590886
1;0;0;0,242;96,59072011
1;0;0;0,239;95,39331449
1;8,1;0,25;0,295;117,7448861
1;8,1;0,25;0,269;107,3673707
1;8,1;0,25;0,279;111,3587228
1;8,1;0,25;0,271;108,1656411
1;8,1;0,25;0,249;99,38466656
1;8,1;0,25;0,253;100,9812074
1;8,1;0,25;0,283;112,9552636
1;8,1;0,25;0,263;104,9725595
1;8,1;0,25;0,26;103,7751538
1;8,1;0,25;0,258;102,9768834
1;8,1;0,25;0,259;103,3760186
1;8,1;0,25;0,259;103,3760186
1;8,1;0,25;0,254;101,3803426
1;8,1;0,25;0,245;97,78812573
1;8,1;0,25;0,245;97,78812573
1;8,1;0,25;0,239;95,39331449
1;8,1;0,25;0,233;92,99850324
1;8,1;0,25;0,218;87,01147514
1;8,1;0,25;0,241;96,1915849
1;8,1;0,25;0,234;93,39763845
1;8,1;0,25;0,208;83,02012307
1;8,1;0,25;0,232;92,59936804
1;8,1;0,25;0,235;93,79677366
1;8,1;0,25;0,227;90,603692
1;16,2;0,5;0,223;89,00715117
1;16,2;0,5;0,289;115,3500748
1;16,2;0,5;0,256;102,178613
1;16,2;0,5;0,25;99,78380176
1;16,2;0,5;0,25;99,78380176
1;16,2;0,5;0,227;90,603692
1;16,2;0,5;0,236;94,19590886
1;16,2;0,5;0,255;101,7794778
1;16,2;0,5;0,238;94,99417928
1;16,2;0,5;0,261;104,174289
1;16,2;0,5;0,233;92,99850324
1;16,2;0,5;0,253;100,9812074
1;16,2;0,5;0,232;92,59936804
1;16,2;0,5;0,229;91,40196241
1;16,2;0,5;0,222;88,60801597
1;16,2;0,5;0,212;84,61666389
1;16,2;0,5;0,201;80,22617662
1;16,2;0,5;0,191;76,23482455
1;16,2;0,5;0,223;89,00715117
1;16,2;0,5;0,207;82,62098786
1;16,2;0,5;0,179;71,44520206
1;16,2;0,5;0,215;85,81406952
1;16,2;0,5;0,211;84,21752869
1;16,2;0,5;0,225;89,80542159
1;40,5;1,25;0,241;96,1915849
1;40,5;1,25;0,245;97,78812573
1;40,5;1,25;0,229;91,40196241
1;40,5;1,25;0,245;97,78812573
1;40,5;1,25;0,227;90,603692
1;40,5;1,25;0,248;98,98553135
1;40,5;1,25;0,242;96,59072011
1;40,5;1,25;0,246;98,18726093
1;40,5;1,25;0,242;96,59072011
1;40,5;1,25;0,231;92,20023283
1;40,5;1,25;0,246;98,18726093
1;40,5;1,25;0,217;86,61233993
1;40,5;1,25;0,209;83,41925827
1;40,5;1,25;0,179;71,44520206
1;40,5;1,25;0,19;75,83568934
1;40,5;1,25;0,201;80,22617662
1;40,5;1,25;0,18;71,84433727
1;40,5;1,25;0,151;60,26941626
1;40,5;1,25;0,173;69,05039082
1;40,5;1,25;0,185;73,8400133
1;40,5;1,25;0,169;67,45384999
1;40,5;1,25;0,181;72,24347248
1;40,5;1,25;0,199;79,4279062
1;40,5;1,25;0,172;68,65125561
1;81;2,5;0,16;63,86163313
1;81;2,5;0,148;59,07201064
1;81;2,5;0,141;56,27806419
1;81;2,5;0,135;53,88325295
1;81;2,5;0,117;46,69881923
1;81;2,5;0,134;53,48411774
1;81;2,5;0,131;52,28671212
1;81;2,5;0,142;56,6771994
1;81;2,5;0,12;47,89622485
1;81;2,5;0,134;53,48411774
1;81;2,5;0,121;48,29536005
1;81;2,5;0,123;49,09363047
1;81;2,5;0,139;55,47979378
1;81;2,5;0,137;54,68152337
1;81;2,5;0,155;61,86595709
1;81;2,5;0,139;55,47979378
1;81;2,5;0,135;53,88325295
1;81;2,5;0,098;39,11525029
1;81;2,5;0,128;51,0893065
1;81;2,5;0,117;46,69881923
1;81;2,5;0,126;50,29103609
1;81;2,5;0,132;52,68584733
1;81;2,5;0,143;57,07633461
1;81;2,5;0,142;56,6771994
1;162;5;0,157;62,66422751
1;162;5;0,116;46,29968402
1;162;5;0,096;38,31697988
1;162;5;0,112;44,70314319
1;162;5;0,089;35,52303343
1;162;5;0,106;42,30833195
1;162;5;0,116;46,29968402
1;162;5;0,144;57,47546982
1;162;5;0,117;46,69881923
1;162;5;0,13;51,88757692
1;162;5;0,091;36,32130384
1;162;5;0,119;47,49708964
1;162;5;0,09;35,92216863
1;162;5;0,117;46,69881923
1;162;5;0,096;38,31697988
1;162;5;0,105;41,90919674
1;162;5;0,103;41,11092633
1;162;5;0,076;30,33427574
1;162;5;0,118;47,09795443
1;162;5;0,091;36,32130384
1;162;5;0,076;30,33427574
1;162;5;0,069;27,54032929
1;162;5;0,086;34,32562781
1;162;5;0,072;28,73773491
1;405;12,5;0,009;3,592216863
1;405;12,5;0,009;3,592216863
1;405;12,5;0,002;0,798270414
1;405;12,5;0,007;2,793946449
1;405;12,5;0,006;2,394811242
1;405;12,5;0,006;2,394811242
1;405;12,5;0,002;0,798270414
1;405;12,5;0,009;3,592216863
1;405;12,5;0,004;1,596540828
1;405;12,5;0,007;2,793946449
1;405;12,5;0,006;2,394811242
1;405;12,5;0,003;1,197405621
1;405;12,5;0,007;2,793946449
1;405;12,5;0,009;3,592216863
1;405;12,5;0,008;3,193081656
1;405;12,5;0,004;1,596540828
1;405;12,5;0,001;0,399135207
1;405;12,5;0,004;1,596540828
1;405;12,5;0,011;4,390487278
1;405;12,5;0,006;2,394811242
1;405;12,5;0,015;5,987028106
1;405;12,5;0,008;3,193081656
1;405;12,5;0,003;1,197405621
1;405;12,5;0,009;3,592216863
1;810;25;0,01;3,991352071
1;810;25;0,008;3,193081656
1;810;25;0,01;3,991352071
1;810;25;0,007;2,793946449
1;810;25;0,005;1,995676035
1;810;25;0,005;1,995676035
1;810;25;0,002;0,798270414
1;810;25;0,025;9,978380176
1;810;25;0,007;2,793946449
1;810;25;0,009;3,592216863
1;810;25;0,006;2,394811242
1;810;25;0,006;2,394811242
1;810;25;0,008;3,193081656
1;810;25;0,01;3,991352071
1;810;25;0,008;3,193081656
1;810;25;0,012;4,789622485
1;810;25;0,015;5,987028106
1;810;25;0,009;3,592216863
1;810;25;0,013;5,188757692
1;810;25;0,012;4,789622485
1;810;25;0,021;8,381839348
1;810;25;0,013;5,188757692
1;810;25;0,02;7,982704141
1;810;25;0,01;3,991352071
2;0;0;0,136;85,75932738
2;0;0;0,151;95,21807672
2;0;0;0,138;87,02049396
2;0;0;0,17;107,1991592
2;0;0;0,191;120,4414083
2;0;0;0,149;93,95691014
2;0;0;0,148;93,32632685
2;0;0;0,157;99,00157646
2;0;0;0,142;89,54282712
2;0;0;0,157;99,00157646
2;0;0;0,184;116,0273253
2;0;0;0,156;98,37099317
2;0;0;0,145;91,43457698
2;0;0;0,146;92,06516027
2;0;0;0,154;97,10982659
2;0;0;0,157;99,00157646
2;0;0;0,15;94,58749343
2;0;0;0,155;97,74040988
2;0;0;0,167;105,3074094
2;0;0;0,159;100,262743
2;0;0;0,185;116,6579086
2;0;0;0,173;109,0909091
2;0;0;0,177;111,6132422
2;0;0;0,159;100,262743
2;8,1;0,25;0,14;88,28166054
2;8,1;0,25;0,153;96,4792433
2;8,1;0,25;0,16;100,8933263
2;8,1;0,25;0,161;101,5239096
2;8,1;0,25;0,169;106,5685759
2;8,1;0,25;0,163;102,7850762
2;8,1;0,25;0,144;90,80399369
2;8,1;0,25;0,142;89,54282712
2;8,1;0,25;0,147;92,69574356
2;8,1;0,25;0,163;102,7850762
2;8,1;0,25;0,163;102,7850762
2;8,1;0,25;0,157;99,00157646
2;8,1;0,25;0,136;85,75932738
2;8,1;0,25;0,133;83,86757751
2;8,1;0,25;0,146;92,06516027
2;8,1;0,25;0,138;87,02049396
2;8,1;0,25;0,165;104,0462428
2;8,1;0,25;0,163;102,7850762
2;8,1;0,25;0,156;98,37099317
2;8,1;0,25;0,145;91,43457698
2;8,1;0,25;0,168;105,9379926
2;8,1;0,25;0,195;122,9637415
2;8,1;0,25;0,194;122,3331582
2;8,1;0,25;0,183;115,396742
2;16,2;0,5;0,109;68,73357856
2;16,2;0,5;0,113;71,25591172
2;16,2;0,5;0,123;77,56174461
2;16,2;0,5;0,134;84,4981608
2;16,2;0,5;0,107;67,47241198
2;16,2;0,5;0,12;75,66999475
2;16,2;0,5;0,127;80,08407777
2;16,2;0,5;0,116;73,14766159
2;16,2;0,5;0,115;72,5170783
2;16,2;0,5;0,126;79,45349448
2;16,2;0,5;0,128;80,71466106
2;16,2;0,5;0,156;98,37099317
2;16,2;0,5;0,13;81,97582764
2;16,2;0,5;0,111;69,99474514
2;16,2;0,5;0,108;68,10299527
2;16,2;0,5;0,103;64,95007882
2;16,2;0,5;0,117;73,77824488
2;16,2;0,5;0,112;70,62532843
2;16,2;0,5;0,134;84,4981608
2;16,2;0,5;0,119;75,03941146
2;16,2;0,5;0,128;80,71466106
2;16,2;0,5;0,144;90,80399369
2;16,2;0,5;0,121;76,30057803
2;16,2;0,5;0,184;116,0273253
2;40,5;1,25;0,098;61,79716238
2;40,5;1,25;0,112;70,62532843
2;40,5;1,25;0,138;87,02049396
2;40,5;1,25;0,124;78,1923279
2;40,5;1,25;0,112;70,62532843
2;40,5;1,25;0,113;71,25591172
2;40,5;1,25;0,111;69,99474514
2;40,5;1,25;0,111;69,99474514
2;40,5;1,25;0,115;72,5170783
2;40,5;1,25;0,119;75,03941146
2;40,5;1,25;0,114;71,88649501
2;40,5;1,25;0,098;61,79716238
2;40,5;1,25;0,095;59,90541251
2;40,5;1,25;0,108;68,10299527
2;40,5;1,25;0,126;79,45349448
2;40,5;1,25;0,123;77,56174461
2;40,5;1,25;0,122;76,93116132
2;40,5;1,25;0,113;71,25591172
2;40,5;1,25;0,111;69,99474514
2;40,5;1,25;0,116;73,14766159
2;40,5;1,25;0,116;73,14766159
2;40,5;1,25;0,112;70,62532843
2;40,5;1,25;0,127;80,08407777
2;40,5;1,25;0,1;63,05832895
2;81;2,5;0,069;43,51024698
2;81;2,5;0,062;39,09616395
2;81;2,5;0,071;44,77141356
2;81;2,5;0,06;37,83499737
2;81;2,5;0,054;34,05149764
2;81;2,5;0,066;41,61849711
2;81;2,5;0,065;40,98791382
2;81;2,5;0,065;40,98791382
2;81;2,5;0,082;51,70782974
2;81;2,5;0,067;42,2490804
2;81;2,5;0,068;42,87966369
2;81;2,5;0,075;47,29374672
2;81;2,5;0,064;40,35733053
2;81;2,5;0,066;41,61849711
2;81;2,5;0,065;40,98791382
2;81;2,5;0,063;39,72674724
2;81;2,5;0,063;39,72674724
2;81;2,5;0,064;40,35733053
2;81;2,5;0,065;40,98791382
2;81;2,5;0,054;34,05149764
2;81;2,5;0,062;39,09616395
2;81;2,5;0,077;48,55491329
2;81;2,5;0,08;50,44666316
2;81;2,5;0,068;42,87966369
2;162;5;0,016;10,08933263
2;162;5;0,015;9,458749343
2;162;5;0,009;5,675249606
2;162;5;0,009;5,675249606
2;162;5;0,016;10,08933263
2;162;5;0,011;6,936416185
2;162;5;0,013;8,197582764
2;162;5;0,017;10,71991592
2;162;5;0,011;6,936416185
2;162;5;0,009;5,675249606
2;162;5;0,014;8,828166054
2;162;5;0,01;6,305832895
2;162;5;0,012;7,566999475
2;162;5;0,014;8,828166054
2;162;5;0,011;6,936416185
2;162;5;0,011;6,936416185
2;162;5;0,012;7,566999475
2;162;5;0,011;6,936416185
2;162;5;0,011;6,936416185
2;162;5;0,008;5,044666316
2;162;5;0,01;6,305832895
2;162;5;0,01;6,305832895
2;162;5;0,009;5,675249606
2;162;5;0,004;2,522333158
2;405;12,5;0,004;2,522333158
2;405;12,5;0,006;3,783499737
2;405;12,5;0,004;2,522333158
2;405;12,5;0,005;3,152916448
2;405;12,5;0,005;3,152916448
2;405;12,5;0,005;3,152916448
2;405;12,5;0,008;5,044666316
2;405;12,5;0,009;5,675249606
2;405;12,5;0,006;3,783499737
2;405;12,5;0,002;1,261166579
2;405;12,5;0,003;1,891749869
2;405;12,5;0,005;3,152916448
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;405;12,5;0;0
2;810;25;0,006;3,783499737
2;810;25;0,005;3,152916448
2;810;25;0,005;3,152916448
2;810;25;0,004;2,522333158
2;810;25;0,004;2,522333158
2;810;25;0,004;2,522333158
2;810;25;0,008;5,044666316
2;810;25;0,006;3,783499737
