DIA;CONC BCO;CONCMARCH;MTT;%MTT
1;0;0;0,266;93,81337252
1;0;0;0,287;101,2196914
1;0;0;0,308;108,6260103
1;0;0;0,3;105,8045555
1;0;0;0,313;110,3894195
1;0;0;0,28;98,75091844
1;0;0;0,282;99,45628215
1;0;0;0,283;99,808964
1;0;0;0,295;104,0411462
1;0;0;0,287;101,2196914
1;0;0;0,279;98,39823659
1;0;0;0,261;92,04996326
1;0;0;0,245;86,40705364
1;0;0;0,293;103,3357825
1;0;0;0,287;101,2196914
1;0;0;0,289;101,9250551
1;0;0;0,3;105,8045555
1;0;0;0,28;98,75091844
1;0;0;0,261;92,04996326
1;0;0;0,258;90,99191771
1;0;0;0,29;102,277737
1;0;0;0,302;106,5099192
1;0;0;0,29;102,277737
1;0;0;0,269;94,87141807
1;11,0019;48;0,219;77,2373255
1;11,0019;48;0,188;66,3041881
1;11,0019;48;0,213;75,12123439
1;11,0019;48;0,185;65,24614254
1;11,0019;48;0,194;68,42027921
1;11,0019;48;0,169;59,60323292
1;11,0019;48;0,206;72,65246143
1;11,0019;48;0,206;72,65246143
1;11,0019;48;0,185;65,24614254
1;11,0019;48;0,19;67,0095518
1;11,0019;48;0,195;68,77296106
1;11,0019;48;0,199;70,18368846
1;11,0019;48;0,347;122,3806025
1;11,0019;48;0,209;73,71050698
1;11,0019;48;0,214;75,47391624
1;11,0019;48;0,194;68,42027921
1;11,0019;48;0,188;66,3041881
1;11,0019;48;0,162;57,13445996
1;11,0019;48;0,21;74,06318883
1;11,0019;48;0,188;66,3041881
1;11,0019;48;0,21;74,06318883
1;11,0019;48;0,206;72,65246143
1;11,0019;48;0,24;84,64364438
1;11,0019;48;0,215;75,82659809
1;22,0038;96;0,108;38,08963997
1;22,0038;96;0,1;35,26818516
1;22,0038;96;0,151;53,25495959
1;22,0038;96;0,139;49,02277737
1;22,0038;96;0,134;47,25936811
1;22,0038;96;0,099;34,91550331
1;22,0038;96;0,145;51,13886848
1;22,0038;96;0,135;47,61204996
1;22,0038;96;0,118;41,61645849
1;22,0038;96;0,139;49,02277737
1;22,0038;96;0,124;43,7325496
1;22,0038;96;0,148;52,19691403
1;22,0038;96;0,139;49,02277737
1;22,0038;96;0,135;47,61204996
1;22,0038;96;0,1;35,26818516
1;22,0038;96;0,12;42,32182219
1;22,0038;96;0,112;39,50036738
1;22,0038;96;0,1;35,26818516
1;22,0038;96;0,125;44,08523145
1;22,0038;96;0,131;46,20132256
1;22,0038;96;0,133;46,90668626
1;22,0038;96;0,148;52,19691403
1;22,0038;96;0,143;50,43350478
1;22,0038;96;0,137;48,31741367
1;27,50475;120;0,114;40,20573108
1;27,50475;120;0,094;33,15209405
1;27,50475;120;0,1;35,26818516
1;27,50475;120;0,11;38,79500367
1;27,50475;120;0,105;37,03159442
1;27,50475;120;0,081;28,56722998
1;27,50475;120;0,086;30,33063924
1;27,50475;120;0,111;39,14768553
1;27,50475;120;0,088;31,03600294
1;27,50475;120;0,107;37,73695812
1;27,50475;120;0,118;41,61645849
1;27,50475;120;0,101;35,62086701
1;27,50475;120;0,123;43,37986774
1;27,50475;120;0,097;34,2101396
1;27,50475;120;0,12;42,32182219
1;27,50475;120;0,124;43,7325496
1;27,50475;120;0,101;35,62086701
1;27,50475;120;0,113;39,85304923
1;27,50475;120;0,119;41,96914034
1;27,50475;120;0,133;46,90668626
1;27,50475;120;0,131;46,20132256
1;27,50475;120;0,137;48,31741367
1;27,50475;120;0,102;35,97354886
1;27,50475;120;0,097;34,2101396
1;55,0095;240;0,005;1,763409258
1;55,0095;240;0,013;4,584864071
1;55,0095;240;0,012;4,232182219
1;55,0095;240;0,01;3,526818516
1;55,0095;240;0,01;3,526818516
1;55,0095;240;0,01;3,526818516
1;55,0095;240;0,005;1,763409258
1;55,0095;240;0,004;1,410727406
1;55,0095;240;0,004;1,410727406
1;55,0095;240;0,018;6,348273328
1;55,0095;240;0,006;2,116091109
1;55,0095;240;0,018;6,348273328
1;55,0095;240;0,007;2,468772961
1;55,0095;240;0,016;5,642909625
1;55,0095;240;0,009;3,174136664
1;55,0095;240;0,009;3,174136664
1;55,0095;240;0,017;5,995591477
1;55,0095;240;0,007;2,468772961
1;55,0095;240;0,005;1,763409258
1;55,0095;240;0,012;4,232182219
1;55,0095;240;0,009;3,174136664
1;55,0095;240;0,02;7,053637032
1;55,0095;240;0,02;7,053637032
1;55,0095;240;0,01;3,526818516
1;82,51425;360;0,011;3,879500367
1;82,51425;360;0,007;2,468772961
1;82,51425;360;0,004;1,410727406
1;82,51425;360;0,004;1,410727406
1;82,51425;360;0,004;1,410727406
1;82,51425;360;0,006;2,116091109
1;82,51425;360;0,005;1,763409258
1;82,51425;360;0,004;1,410727406
1;82,51425;360;0,005;1,763409258
1;82,51425;360;0,004;1,410727406
1;82,51425;360;0,004;1,410727406
1;82,51425;360;0,007;2,468772961
1;82,51425;360;0,006;2,116091109
1;82,51425;360;0,012;4,232182219
1;82,51425;360;0,01;3,526818516
1;82,51425;360;0,009;3,174136664
1;82,51425;360;0,024;8,464364438
1;82,51425;360;0,007;2,468772961
1;82,51425;360;0,005;1,763409258
1;82,51425;360;0,012;4,232182219
1;82,51425;360;0,009;3,174136664
1;82,51425;360;0,017;5,995591477
1;82,51425;360;0,022;7,759000735
1;82,51425;360;0,003;1,058045555
1;110,019;480;0,014;4,937545922
1;110,019;480;0,006;2,116091109
1;110,019;480;0,005;1,763409258
1;110,019;480;0,01;3,526818516
1;110,019;480;0,008;2,821454813
1;110,019;480;0,011;3,879500367
1;110,019;480;0,004;1,410727406
1;110,019;480;0,004;1,410727406
1;110,019;480;0,003;1,058045555
1;110,019;480;0,003;1,058045555
1;110,019;480;0,004;1,410727406
1;110,019;480;0,006;2,116091109
1;110,019;480;0,005;1,763409258
1;110,019;480;0,009;3,174136664
1;110,019;480;0,008;2,821454813
1;110,019;480;0,01;3,526818516
1;110,019;480;0,022;7,759000735
1;110,019;480;0,004;1,410727406
1;110,019;480;0,019;6,70095518
1;110,019;480;0,014;4,937545922
1;110,019;480;0,012;4,232182219
1;110,019;480;0,013;4,584864071
1;110,019;480;0,007;2,468772961
1;110,019;480;0,003;1,058045555
1;220,038;960;0,011;3,879500367
1;220,038;960;0,009;3,174136664
1;220,038;960;0,005;1,763409258
1;220,038;960;0,006;2,116091109
1;220,038;960;0,01;3,526818516
1;220,038;960;0,007;2,468772961
