DIA;CONC BCO;CONC MARCH;MTT;%MTT
1;0;0;0,175;78,05240662
1;0;0;0,205;91,43281918
1;0;0;0,206;91,87883293
1;0;0;0,199;88,75673667
1;0;0;0,226;100,799108
1;0;0;0,212;94,55491544
1;0;0;0,236;105,2592455
1;0;0;0,221;98,56903921
1;0;0;0,23;102,583163
1;0;0;0,219;97,67701171
1;0;0;0,237;105,7052592
1;0;0;0,234;104,367218
1;0;0;0,229;102,1371492
1;0;0;0,297;132,4660844
1;0;0;0,395;176,1754321
1;0;0;0,171;76,26835161
1;0;0;0,193;86,08065415
1;0;0;0,207;92,32484668
1;0;0;0,21;93,66288794
1;0;0;0,218;97,23099796
1;0;0;0,186;82,95855789
1;0;0;0,229;102,1371492
1;0;0;0,23;102,583163
1;0;0;0,216;96,33897045
1;11,0019;48;0,193;86,08065415
1;11,0019;48;0,212;94,55491544
1;11,0019;48;0,211;94,10890169
1;11,0019;48;0,217;96,7849842
1;11,0019;48;0,221;98,56903921
1;11,0019;48;0,238;106,151273
1;11,0019;48;0,226;100,799108
1;11,0019;48;0,229;102,1371492
1;11,0019;48;0,243;108,3813418
1;11,0019;48;0,235;104,8132317
1;11,0019;48;0,238;106,151273
1;11,0019;48;0,177;78,94443412
1;11,0019;48;0,262;116,855603
1;11,0019;48;0,291;129,7900019
1;11,0019;48;0,324;144,5084557
1;11,0019;48;0,145;64,67199405
1;11,0019;48;0,165;73,59226909
1;11,0019;48;0,197;87,86470916
1;11,0019;48;0,224;99,90708047
1;11,0019;48;0,217;96,7849842
1;11,0019;48;0,19;84,7426129
1;11,0019;48;0,231;103,0291767
1;11,0019;48;0,23;102,583163
1;11,0019;48;0,208;92,77086043
1;22,0038;96;0,225;100,3530942
1;22,0038;96;0,244;108,8273555
1;22,0038;96;0,299;133,3581119
1;22,0038;96;0,108;48,16948523
1;22,0038;96;0,106;47,27745772
1;22,0038;96;0,125;55,75171901
1;22,0038;96;0,145;64,67199405
1;22,0038;96;0,16;71,36220033
1;22,0038;96;0,122;54,41367776
1;22,0038;96;0,148;66,01003531
1;22,0038;96;0,154;68,68611782
1;22,0038;96;0,157;70,02415908
1;22,0038;96;0,145;64,67199405
1;22,0038;96;0,152;67,79409032
1;22,0038;96;0,168;74,93031035
1;22,0038;96;0,158;70,47017283
1;22,0038;96;0,179;79,83646162
1;22,0038;96;0,162;72,25422784
1;22,0038;96;0,172;76,71436536
1;22,0038;96;0,182;81,17450288
1;22,0038;96;0,195;86,97268166
1;22,0038;96;0,171;76,26835161
1;22,0038;96;0,197;87,86470916
1;22,0038;96;0,179;79,83646162
1;27,50475;120;0,12;53,52165025
1;27,50475;120;0,138;61,54989779
1;27,50475;120;0,138;61,54989779
1;27,50475;120;0,129;57,53577402
1;27,50475;120;0,155;69,13213157
1;27,50475;120;0,141;62,88793904
1;27,50475;120;0,171;76,26835161
1;27,50475;120;0,154;68,68611782
1;27,50475;120;0,162;72,25422784
1;27,50475;120;0,141;62,88793904
1;27,50475;120;0,159;70,91618658
1;27,50475;120;0,141;62,88793904
1;27,50475;120;0,211;94,10890169
1;27,50475;120;0,192;85,6346404
1;27,50475;120;0,224;99,90708047
1;27,50475;120;0,082;36,57312767
1;27,50475;120;0,06;26,76082513
1;27,50475;120;0,107;47,72347147
1;27,50475;120;0,113;50,39955399
1;27,50475;120;0,132;58,87381528
1;27,50475;120;0,077;34,34305891
1;27,50475;120;0,111;49,50752648
1;27,50475;120;0,123;54,85969151
1;27,50475;120;0,111;49,50752648
1;55,0095;240;0,035;15,61048132
1;55,0095;240;0,047;20,96264635
1;55,0095;240;0,048;21,4086601
1;55,0095;240;0,03;13,38041256
1;55,0095;240;0,067;29,88292139
1;55,0095;240;0,047;20,96264635
1;55,0095;240;0,048;21,4086601
1;55,0095;240;0,055;24,53075636
1;55,0095;240;0,078;34,78907266
1;55,0095;240;0,057;25,42278387
1;55,0095;240;0,077;34,34305891
1;55,0095;240;0,056;24,97677012
1;55,0095;240;0,154;68,68611782
1;55,0095;240;0,085;37,91116893
1;55,0095;240;0,03;13,38041256
1;55,0095;240;0,019;8,47426129
1;55,0095;240;0,017;7,582233786
1;55,0095;240;0,017;7,582233786
1;55,0095;240;0,031;13,82642631
1;55,0095;240;0,021;9,366288794
1;55,0095;240;0,02;8,920275042
1;55,0095;240;0,027;12,04237131
1;55,0095;240;0,025;11,1503438
1;55,0095;240;0,042;18,73257759
1;82,51425;360;0,012;5,352165025
1;82,51425;360;0,01;4,460137521
1;82,51425;360;0,011;4,906151273
1;82,51425;360;0,009;4,014123769
1;82,51425;360;0,012;5,352165025
1;82,51425;360;0,015;6,690206281
1;82,51425;360;0,013;5,798178777
1;82,51425;360;0,012;5,352165025
1;82,51425;360;0,013;5,798178777
1;82,51425;360;0,015;6,690206281
1;82,51425;360;0,02;8,920275042
1;82,51425;360;0,011;4,906151273
1;82,51425;360;0,032;14,27244007
1;82,51425;360;0,027;12,04237131
1;82,51425;360;0,023;10,2583163
1;82,51425;360;0,02;8,920275042
1;82,51425;360;0,019;8,47426129
1;82,51425;360;0,02;8,920275042
1;82,51425;360;0,018;8,028247538
1;82,51425;360;0,017;7,582233786
1;82,51425;360;0,017;7,582233786
1;82,51425;360;0,017;7,582233786
1;82,51425;360;0,015;6,690206281
1;82,51425;360;0,015;6,690206281
1;110,019;480;0,011;4,906151273
1;110,019;480;0,013;5,798178777
1;110,019;480;0,015;6,690206281
1;110,019;480;0,015;6,690206281
1;110,019;480;0,012;5,352165025
1;110,019;480;0,014;6,244192529
1;110,019;480;0,017;7,582233786
1;110,019;480;0,011;4,906151273
1;110,019;480;0,01;4,460137521
1;110,019;480;0,012;5,352165025
1;110,019;480;0,016;7,136220033
1;110,019;480;0,013;5,798178777
1;110,019;480;0,021;9,366288794
1;110,019;480;0,023;10,2583163
1;110,019;480;0,02;8,920275042
1;110,019;480;0,02;8,920275042
1;110,019;480;0,021;9,366288794
1;110,019;480;0,019;8,47426129
1;110,019;480;0,015;6,690206281
1;110,019;480;0,016;7,136220033
1;110,019;480;0,015;6,690206281
1;110,019;480;0,016;7,136220033
1;110,019;480;0,016;7,136220033
1;110,019;480;0,015;6,690206281
1;220,038;960;0,018;8,028247538
1;220,038;960;0,015;6,690206281
1;220,038;960;0,013;5,798178777
